src,dst
185,220
185,221
185,222
185,223
185,224
185,225
185,226
185,227
185,228
185,229
185,230
185,231
186,217
186,218
186,219
186,220
186,221
186,222
186,224
186,226
186,228
186,230
187,5
187,9
187,13
187,16
187,192
187,209
187,222
187,224
187,226
187,228
187,230
188,5
188,9
188,13
188,16
188,192
188,209
188,222
188,224
188,226
188,228
188,230
189,5
189,9
189,13
189,16
189,176
189,177
189,178
189,179
189,180
189,181
189,182
189,183
189,184
189,185
189,186
189,187
189,191
189,192
189,208
189,209
190,19
190,168
190,177
190,194
191,19
191,163
191,168
191,177
191,194
192,109
192,110
192,111
192,117
192,118
193,110
193,111
193,117
194,117
194,264
194,272
195,117
195,264
195,272
196,95
196,96
196,97
196,98
196,117
196,264
196,272
197,95
197,96
197,97
197,98
197,264
197,272
198,95
198,96
198,97
198,98
198,239
198,240
198,242
198,254
198,255
198,256
198,257
198,260
198,261
198,264
198,268
198,269
198,272
199,95
199,96
199,97
199,98
199,99
199,100
199,104
199,105
199,153
199,154
199,239
199,240
199,242
199,254
199,255
199,256
199,257
199,258
199,259
199,260
199,261
199,262
199,263
199,264
199,268
199,269
199,272
200,29
200,36
200,95
200,96
200,99
200,100
200,104
200,105
200,153
200,154
200,187
200,204
200,239
200,240
200,254
200,255
201,29
201,36
201,96
201,100
201,105
201,154
201,187
201,204
201,239
201,240
201,255
202,28
202,29
202,35
202,36
202,96
202,100
202,105
202,154
202,186
202,187
202,203
202,204
202,239
202,240
202,255
203,2
203,3
203,4
203,5
203,28
203,29
203,35
203,36
203,186
203,187
203,203
203,204
204,129
205,127
206,164
206,165
207,166
207,167
207,168
207,169
208,163
208,166
208,167
208,168
208,169
208,170
209,163
209,168
209,169
213,129
213,130
214,129
214,130
215,130
216,127
216,128
217,119
217,124
217,125
217,126
217,127
217,128
218,103
218,109
218,111
218,113
218,119
218,127
218,128
219,103
219,109
219,111
219,113
219,119
219,127
219,128
220,103
220,109
220,111
220,113
220,114
220,115
220,116
220,117
220,118
221,103
221,114
221,115
222,103
222,114
223,115
224,87
224,88
224,115
225,87
225,88
226,87
226,88
226,89
226,91
226,92
227,87
227,88
227,89
227,91
227,92
228,42
228,88
228,89
228,91
228,92
229,42
229,88
229,92
230,42
230,88
230,92
231,6
231,7
231,8
231,9
231,26
231,27
231,33
231,34
231,184
231,185
231,201
231,202
232,26
232,27
232,33
232,34
232,98
232,102
232,107
232,156
232,184
232,185
232,201
232,202
232,242
232,244
232,257
233,27
233,34
233,98
233,102
233,107
233,156
233,185
233,202
233,242
233,244
233,257
234,27
234,34
234,97
234,98
234,101
234,102
234,106
234,107
234,155
234,156
234,185
234,202
234,241
234,242
234,243
234,244
234,256
234,257
235,97
235,98
235,99
235,100
235,101
235,102
235,104
235,105
235,106
235,107
235,153
235,154
235,155
235,156
235,241
235,242
235,243
235,244
235,256
235,257
235,258
235,259
235,262
235,263
235,265
235,266
235,267
235,268
235,269
235,270
235,271
235,272
236,99
236,100
236,101
236,102
236,104
236,105
236,106
236,107
236,153
236,154
236,155
236,156
236,258
236,259
236,262
236,263
236,265
236,266
236,267
236,270
236,271
237,99
237,100
237,101
237,102
237,104
237,105
237,106
237,107
237,239
237,240
237,241
237,242
237,243
237,244
237,254
237,255
237,256
237,257
237,260
237,261
237,262
237,263
237,268
237,269
237,270
237,271
238,262
238,270
239,99
239,100
239,101
239,102
239,104
239,105
239,106
239,107
239,262
239,263
239,270
239,271
240,99
240,100
240,101
240,102
240,263
240,271
241,118
241,263
241,271
242,118
242,263
242,271
243,118
243,263
243,271
244,108
244,109
244,118
245,108
246,121
246,125
247,121
247,125
248,131
251,124
251,125
251,126
252,119
252,120
252,124
253,120
253,123
253,124
254,39
254,94
255,39
255,94
256,39
256,90
256,93
256,94
257,90
257,93
257,94
258,89
258,90
258,91
258,92
258,93
258,94
259,89
259,90
259,91
259,92
259,93
259,94
260,89
260,90
260,116
261,89
261,90
261,116
262,112
262,113
262,116
263,109
263,110
263,111
263,112
263,113
263,116
263,117
263,118
264,109
264,110
264,111
264,112
264,113
264,116
264,117
264,118
265,110
265,112
266,108
266,110
266,112
267,108
267,110
267,112
268,119
268,120
268,121
268,122
269,119
269,121
269,122
269,125
269,126
270,121
270,122
270,125
270,126
271,122
271,126
272,132
273,131
273,132
